"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U30,U24,U21,U27,U33,U12,U15,U18";"R_8_ADI";8;"AD633ARZ-R7";;;
2;"R11,R51,R32,R49,R44,R25,R22,R50,R36,R23,R30,R48,R54,R24,R13,R10,R55,R29,R85,R9,R52,R8,R33,R84,R53,R12";"R_0805_2012Metric";26;"4.7k";;;
3;"J19,J18,J16,J6,J14,J5,J15,J7,J2,J17";"PinHeader_1x02_P2.54mm_Vertical";10;"Conn_01x02_Pin";;;
4;"C55,C29,C28,C24,C59,C22,C52,C60,C44,C26,C17,C58,C34,C20,C36,C48,C30,C38,C40,C41,C19,C50,C37,C32,C57,C53,C21,C45,C25,C54,C49,C33,C42,C18,C46";"C_0805_2012Metric";35;"0.1uF";;;
5;"R6";"R_0805_2012Metric";1;"40.2k";;;
6;"R15,R92,R38,R26,R39,R62,R31,R28,R70,R35,R41,R71,R82,R46,R63,R43,R40,R57,R93,R64,R91,R76,R65,R56,R21,R47,R20,R95,R18,R17,R83,R90,R94,R27,R14,R96,R37,R34,R42,R19,R16,R45,R77";"R_0805_2012Metric";43;"100";;;
7;"C16,C12,C14,C11";"C_0805_2012Metric";4;"22uF";;;
8;"C51,C47,C31,C39,C35,C27,C43,C23";"C_0805_2012Metric";8;"0.01uF";;;
9;"R88,R86,R5,R89,R2";"R_0805_2012Metric";5;"0";;;
10;"U4";"SO-16_3.9x9.9mm_P1.27mm";1;"74HC139N";;;
11;"R98,R97";"R_0805_2012Metric";2;"5.1k";;;
12;"R61,R73,R58,R80,R74,R87,R75,R67,R79,R60,R72,R68,R81,R69,R66,R59,R78";"R_0805_2012Metric";17;"1K";;;
13;"TP6,TP20,TP9,TP25,TP10,TP5,TP13,TP15,TP29,TP8,TP14,TP24,TP4,TP16,TP23,TP18,TP1,TP12,TP28,TP7,TP22,TP11,TP21,TP19,TP27,TP26,TP2,TP17,TP3";"TestPoint_Pad_1.0x1.0mm";29;"TestPoint";;;
14;"C61";"C_0805_2012Metric";1;"47uF";;;
15;"J11,J12";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
16;"U1";"MF05A";1;"LM2733YMFX/NOPB";;;
17;"R99";"R_0805_2012Metric";1;"120";;;
18;"J9,J13,J10,J8";"CONN1_5011_KEY";4;"5011";;;
19;"U28,U8,U22,U6,U7,U19,U10,U31,U9,U25,U13,U16";"SOT-363_SC-70-6_Handsoldering";12;"LTC2630ISC6-LZ8-TRMPBF";;;
20;"C56,C7,C13";"C_0805_2012Metric";3;"2.2uF";;;
21;"R7";"R_0805_2012Metric";1;"3.6k";;;
22;"U11,U17,U32,U23,U20,U29,U26,U14";"SOT-23-6_Handsoldering";8;"SN74LVC1G3157DCKR";;;
23;"C8";"C_0805_2012Metric";1;"130pF";;;
24;"L1";"L_0805_2012Metric";1;"10uH";;;
25;"C9,C10";"C_0805_2012Metric";2;"10uF";;;
26;"D2,D5,D7,D6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"LED";;;
27;"C1,C2,C3";"C_0805_2012Metric";3;"4.7uF";;;
28;"H1,H4,H3,H2";"MountingHole_2.2mm_M2_Pad_TopBottom";4;"MountingHole_Pad";;;
29;"D3,D4";"D_SOD-123";2;"MBR0530T1G";;;
30;"L2,L3";"L_0805_2012Metric";2;"22uH";;;
31;"U5";"SOP-24_7.5x15.4mm_P1.27mm";1;"74HC154D";;;
32;"J3";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"Conn_01x02_Pin";;;
33;"U34";"LQFP-48_7x7mm_P0.5mm";1;"LTC2353ILX-16-PBF";;;
34;"R100";"R_0805_2012Metric";1;"290";;;
35;"J4";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Pin";;;
36;"U3";"DBV0005A_L";1;"LM2611BMF/NOPB";;;
37;"R3";"R_0805_2012Metric";1;"1.91k";;;
38;"R1";"R_0805_2012Metric";1;"147k";;;
39;"C15";"C_0805_2012Metric";1;"1nF";;;
40;"J1";"CONN_105450-0101_MOL";1;"1054500101";;;
41;"R101,R102";"R_0805_2012Metric";2;"1.3k";;;
42;"R4";"R_0805_2012Metric";1;"13.3k";;;
43;"D1";"R_0805_2012Metric";1;"TPD1E10B06DPYR";;;
44;"U2";"SOT223_AZ1117I_6P5X3P5_DIO";1;"AZ1117IH-3.3TRG1";;;
45;"J20";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07_Pin";;;
46;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"500mA";;;
